2018-09-23 22:25:11,463 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(41) | Entering processTransaction() for EndOfDayPositionDO [transactionSeq=4, instrumentName=APPL, accountId=null, accountType=null, eodQuantity=null, deltaQuantity=null] 
2018-09-23 22:25:11,525 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(56) | OpeningPositionDO List for EOD : [OpeningPositionDO [transactionSeq=2, instrumentName=APPL, accountId=101, accountType=E, openingQuantity=10000], OpeningPositionDO [transactionSeq=2, instrumentName=APPL, accountId=201, accountType=I, openingQuantity=-10000]] 
2018-09-23 22:25:11,526 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(73) | EOD Position DO Map for EOD : {201I=EndOfDayPositionDO [transactionSeq=4, instrumentName=APPL, accountId=201, accountType=I, eodQuantity=-10000, deltaQuantity=null], 101E=EndOfDayPositionDO [transactionSeq=4, instrumentName=APPL, accountId=101, accountType=E, eodQuantity=10000, deltaQuantity=null]} 
2018-09-23 22:25:11,526 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(79) | EOD key set to be processed : [201I, 101E] 
2018-09-23 22:25:11,526 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(110) | EOD Position DO Map for EOD : {201I=EndOfDayPositionDO [transactionSeq=4, instrumentName=APPL, accountId=201, accountType=I, eodQuantity=-10000, deltaQuantity=null], 101E=EndOfDayPositionDO [transactionSeq=4, instrumentName=APPL, accountId=101, accountType=E, eodQuantity=10000, deltaQuantity=null]} 
2018-09-23 22:25:11,527 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(114) | SOD Position DO Map for EOD : {201I=OpeningPositionDO [transactionSeq=2, instrumentName=APPL, accountId=201, accountType=I, openingQuantity=-10000], 101E=OpeningPositionDO [transactionSeq=2, instrumentName=APPL, accountId=101, accountType=E, openingQuantity=10000]} 
2018-09-23 22:25:11,631 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(139) | Leaving processTransaction() 
2018-09-23 22:25:11,632 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(41) | Entering processTransaction() for EndOfDayPositionDO [transactionSeq=4, instrumentName=AMZN, accountId=null, accountType=null, eodQuantity=null, deltaQuantity=null] 
2018-09-23 22:25:11,697 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(56) | OpeningPositionDO List for EOD : [OpeningPositionDO [transactionSeq=2, instrumentName=AMZN, accountId=101, accountType=E, openingQuantity=-10000], OpeningPositionDO [transactionSeq=2, instrumentName=AMZN, accountId=201, accountType=I, openingQuantity=10000]] 
2018-09-23 22:25:11,698 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(73) | EOD Position DO Map for EOD : {201I=EndOfDayPositionDO [transactionSeq=4, instrumentName=AMZN, accountId=201, accountType=I, eodQuantity=10000, deltaQuantity=null], 101E=EndOfDayPositionDO [transactionSeq=4, instrumentName=AMZN, accountId=101, accountType=E, eodQuantity=-10000, deltaQuantity=null]} 
2018-09-23 22:25:11,698 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(79) | EOD key set to be processed : [201I, 101E] 
2018-09-23 22:25:11,699 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(110) | EOD Position DO Map for EOD : {201I=EndOfDayPositionDO [transactionSeq=4, instrumentName=AMZN, accountId=201, accountType=I, eodQuantity=10000, deltaQuantity=null], 101E=EndOfDayPositionDO [transactionSeq=4, instrumentName=AMZN, accountId=101, accountType=E, eodQuantity=-10000, deltaQuantity=null]} 
2018-09-23 22:25:11,700 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(114) | SOD Position DO Map for EOD : {201I=OpeningPositionDO [transactionSeq=2, instrumentName=AMZN, accountId=201, accountType=I, openingQuantity=10000], 101E=OpeningPositionDO [transactionSeq=2, instrumentName=AMZN, accountId=101, accountType=E, openingQuantity=-10000]} 
2018-09-23 22:25:11,840 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(139) | Leaving processTransaction() 
2018-09-23 22:25:11,840 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(41) | Entering processTransaction() for EndOfDayPositionDO [transactionSeq=4, instrumentName=NFLX, accountId=null, accountType=null, eodQuantity=null, deltaQuantity=null] 
